Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
Paradeep Phosph.,104.27,23.40,8500.20,0.48,227.46,154.34,3843.84,4.37,6.74
G S F C,194.40,14.67,7746.40,2.06,298.23,-3.46,2635.17,-15.50,5.77
Natl.Fertilizer,108.98,14.77,5346.34,0.25,12.07,113.86,4390.36,-22.43,6.70
M B Agro Prod.,210.06,65.72,1840.69,0.24,13.84,-7.30,278.31,-0.05,12.15
Mangalore Chem.,141.65,15.53,1678.84,1.06,26.38,-61.04,776.39,-44.95,16.90
S P I C,73.58,9.67,1498.38,2.04,35.17,-33.17,759.58,2.14,17.80
Madras Fertilize,92.67,11.57,1492.91,0.00,1.58,-52.84,532.42,38.20,10.31
F A C T,818.70,500.24,52975.78,0.12,11.18,-90.37,1448.63,-12.90,16.94
Krishana Phosch.,210.18,29.99,1272.69,0.24,16.74,-13.26,300.56,13.46,15.02
Zuari Agro Chem.,216.25,5.08,909.50,0.00,93.42,128.82,1123.32,-31.88,8.50
Khaitan Chemical,66.30,,643.04,0.00,-3.07,-2890.91,230.65,19.31,-7.57
Nagarjuna Fert.,9.61,0.28,574.74,0.00,-14.95,88.41,0.93,-99.93,-242.25
Bajaj Finserv,1639.80,30.80,261820.65,0.06,4180.15,8.19,33703.74,29.52,11.72
Jio Financial,318.35,125.93,202256.80,0.00,689.07,3.13,693.50,14.05,1.55
I R F C,139.66,28.05,182514.75,1.07,1612.65,4.41,6899.66,2.05,5.73
Power Fin.Corpn.,454.70,7.08,150055.63,2.97,7214.90,9.71,25721.79,14.88,9.85
REC Ltd,502.35,8.89,132280.01,3.19,4037.72,6.54,13682.43,17.06,10.05
Bajaj Holdings,10850.10,16.30,120750.76,1.21,1510.43,-3.67,279.07,24.18,13.07
Bajaj Housing,129.65,62.35,107974.42,0.00,545.60,20.95,2410.15,26.09,9.42
Shriram Finance,2822.60,13.54,106132.31,1.59,2153.27,17.99,10089.54,17.93,11.27
Cholaman.Inv.&Fn,1205.70,26.31,101332.13,0.17,967.80,25.22,6255.12,35.32,10.41
HDFC AMC,4278.75,41.33,91401.08,1.64,576.88,31.84,887.21,37.96,37.72
Bajaj Finance,6549.15,26.37,405390.07,0.55,4013.74,12.64,17090.27,27.71,11.93
Muthoot Finance,1775.85,16.15,71293.97,1.35,1251.14,26.25,4117.44,34.57,13.15
SBI Cards,683.35,29.41,65007.38,0.37,404.42,-32.93,4421.04,8.16,12.54
Indian Renewable,189.86,35.33,51029.90,0.00,387.75,36.18,1629.55,38.49,9.30
Aditya Birla Cap,188.92,13.25,49219.58,0.00,1020.68,43.00,10322.01,35.69,9.95
SPS Finquest,147.25,497.60,149.28,0.00,1.53,-70.23,2.68,-6.94,3.08
Ausom Enter.,108.27,12.24,147.46,0.92,1.94,48.09,0.17,-99.74,8.50
Saumya Cons,212.05,4.76,146.46,0.00,13.45,60.12,22.69,28.92,27.25
CNI Research,12.35,,141.78,0.00,-3.16,-2206.67,0.33,-87.11,6.98
MILGREY FIN.&INV,65.06,241.64,140.15,0.00,0.21,2200.00,0.00,,0.26
Acme Resources,54.20,121.33,139.53,0.00,0.90,-38.36,1.67,-22.69,2.12
Credent Global,27.08,,139.36,0.00,-0.30,73.21,3.28,69.07,3.14
WSFX Global,114.75,24.16,138.67,0.87,3.14,28.69,25.90,14.65,12.85
RRPSemiconductor,100.78,38.46,137.30,0.00,1.82,9200.00,5.66,,104.76
Swati Projects,134.35,139.89,135.69,0.00,0.20,233.33,0.30,7.14,6.08
VIRAT LEASING,115.50,,149.92,0.00,-0.48,-860.00,0.24,-17.24,-0.36
Nidhi Granites,169.00,56.57,135.20,0.00,1.10,1733.33,12.10,39.40,9.76
Advik Capital,2.18,71.32,132.66,0.00,-0.24,-101.14,102.37,-34.97,10.11
Teamo Production,1.38,19.59,129.89,0.00,1.50,435.71,145.55,20.94,10.46
Times Guaranty,141.57,65.60,127.27,0.00,0.50,19.05,0.86,7.50,5.30
Kiduja India,454.95,3.18,109.19,0.00,6.08,-23.81,10.38,0.48,62.90
Unifinz Capital,324.65,20.58,107.85,0.00,4.89,608.70,23.74,171.62,10.50
Capfin India,375.95,,107.70,0.00,0.01,-66.67,0.06,-50.00,-23.72
Elixir Capital,185.15,4.31,107.39,0.68,11.30,199.38,18.56,204.76,36.75
Arnold Holdings,44.88,7.19,106.70,0.00,2.94,180.00,51.65,-1.47,14.53
BSEL ALGO,12.81,3.61,105.84,0.00,7.18,-17.57,9.56,-12.93,6.36
Mukesh Babu Fin.,148.15,18.76,103.26,0.81,2.73,-18.99,4.66,-53.86,3.62
Inter Globe Fin,114.00,11.46,102.11,0.00,0.89,81.63,62.50,33.58,13.90
Abhinav Capital,142.85,22.53,98.92,0.00,0.83,-46.45,2.10,-30.69,16.27
Som Datt Finance,98.40,11.02,98.50,0.00,-0.52,-117.33,0.03,-99.17,46.59
Srestha Finvest,0.67,5.29,109.88,0.00,-14.82,-349.09,3.58,70.48,4.18
Sai Capital,334.50,,96.31,0.00,1.63,75.82,0.10,-50.00,-2.08
Dharni Capital,46.00,31.66,93.70,0.00,1.61,,2.92,-39.04,25.02
Real Touch Fin,73.74,26.00,93.60,0.00,1.17,244.12,6.82,33.20,8.59
Optimus Finance,121.95,15.85,91.12,0.00,2.29,52.08,39.69,84.69,16.54
Charter. Capital,265.70,13.11,79.98,0.00,1.33,-8.28,2.53,15.53,4.33
Biogen Pharma,1.22,,79.62,0.00,-1.00,-238.89,-0.65,,0.65
Padam Cotton,205.05,51.24,79.42,0.49,3.24,32300.00,0.00,,-24.63
Fundviser Capit.,152.00,,78.32,0.00,-0.06,-112.00,0.00,-100.00,6.76
Pioneer Invest,62.17,10.60,76.45,0.00,0.28,154.55,8.00,8.99,7.22
Luharuka Media,4.06,140.93,76.10,0.49,-0.30,-236.36,0.50,11.11,5.84
Kalyan Capitals,14.35,13.90,75.36,0.00,1.55,-8.70,6.71,5.34,19.01
Morgan Ventures,73.88,4.26,73.14,0.00,5.50,177.78,12.48,217.56,10.51
AD Manum Finance,97.05,7.35,72.79,0.00,2.61,91.91,3.66,61.95,15.67
Lak. Fin. & Indl,240.95,5.22,72.29,1.41,3.46,65.55,4.81,51.26,24.81
3P Land Hold.,44.59,38.40,80.26,0.00,0.96,20.00,1.74,32.82,2.94
KJMC Financial,150.75,46.55,72.15,0.00,0.74,25.42,2.02,53.03,1.83
TCFC Finance,68.80,6.95,72.10,2.62,1.15,-59.36,1.53,-62.22,15.56
Shrydus Indust.,22.45,23.41,71.87,0.00,2.73,1416.67,3.50,62.79,5.04
Siel Fin. Serv.,63.27,,71.77,0.00,0.00,,0.00,,-400.00
Apoorva Leasing,31.70,49.09,63.32,0.00,0.38,-54.76,0.67,-30.93,1.80
P. H. Capital,202.20,2.87,60.66,0.12,11.28,,30.12,,73.50
Smart Finsec,20.05,38.31,60.15,0.00,0.37,-76.73,0.73,-90.70,21.96
Cont. Securities,22.84,53.06,59.96,0.00,0.37,105.56,0.65,66.67,11.51
Salem Erode Inv.,52.00,,59.62,0.00,-1.30,-6600.00,0.95,-18.10,-0.42
Kreon Finnancial,29.29,,59.23,0.00,0.16,-85.45,5.91,62.81,4.71
Hardcast.& Waud,866.75,30.86,58.94,0.00,-0.55,-179.71,1.13,-16.91,7.00
IndiaNivesh,15.44,17.94,58.29,0.00,1.55,0.65,1.50,0.67,3.83
SMIFS Cap. Mkt.,100.13,17.92,55.92,0.00,0.25,108.33,6.34,117.12,0.58
Viji Finance,3.92,,55.86,0.00,-0.24,-580.00,0.61,45.24,1.71
Pan India Corpor,2.99,160.15,64.06,0.00,-0.09,,0.00,,-0.62
MASK INVESTMENTS,181.22,921.67,55.30,0.00,0.03,,0.35,775.00,0.04
Dhanlaxmi Cotex,109.00,10.27,53.10,0.00,3.32,260.87,7.24,-42.36,5.78
Blue Chip India,9.40,,51.99,0.00,-0.01,50.00,0.00,,-3.52
Galactico Corpo.,3.34,23.15,49.77,0.00,0.56,86.67,5.40,18.94,7.26
Ind Bank Housing,43.80,,43.80,0.00,-0.08,83.33,0.00,,-7.86
Sainik Finance,40.20,19.88,43.74,0.00,1.28,7.56,3.86,-4.93,9.43
Ashirwad Steels,34.99,16.95,43.74,0.00,0.51,2.00,0.28,21.74,4.08
Madhusudan Sec.,41.18,,43.63,0.00,-0.38,-533.33,0.00,,0.14
Visagar Finan.,0.74,,43.21,0.00,3.86,33.10,75.94,17.21,-0.03
Jagsonpal Fin.,78.52,68.56,43.19,0.00,0.11,375.00,0.14,,45.86
Qgo Finance,61.72,13.41,42.91,1.05,0.76,31.03,4.18,21.16,13.98
Nagreeka Cap.,31.81,2.19,40.14,0.00,4.05,90.14,14.78,52.21,32.37
Glance Finance,176.85,13.76,39.90,0.00,0.98,117.78,13.36,205.02,11.04
Gajanan Sec.Serv,127.50,45.99,39.55,0.00,0.00,100.00,0.02,-71.43,0.21
Ashirwad Cap.,4.93,27.05,44.37,0.00,0.40,-6.98,0.41,-6.82,10.75
Hybrid Financial,13.26,10.52,39.03,0.00,1.11,113.46,1.79,61.26,7.93
Lerthai Finance,555.75,40.95,38.90,0.00,0.18,700.00,0.00,,9.94
India Cem. Cap.,17.85,43.54,38.75,0.00,0.17,-70.69,1.45,-22.87,3.50
JMD Ventures,13.38,47.09,38.61,0.00,0.25,-78.81,0.13,0.00,8.34
Jindal Capital,48.64,28.51,35.07,0.00,0.33,-35.29,0.68,-52.45,14.65
Global Cap.Mkt.,0.88,26.16,35.05,0.00,0.98,326.09,2.24,578.79,0.02
Helpage Finlease,34.99,41.44,34.81,0.00,0.26,-36.59,1.74,29.85,6.77
Khoobsurat Ltd,0.74,79.09,34.80,0.00,0.17,466.67,0.31,,1.19
J A Finance,32.60,33.70,34.71,0.00,0.22,-24.14,0.58,-28.40,8.18
S P Capital Fin.,57.24,27.97,34.40,1.75,0.57,338.46,1.55,138.46,3.17
Greencrest Finan,0.92,,33.63,0.00,1.71,-69.02,15.47,15.19,4.27
Stanrose Mafat.,83.87,,33.30,0.00,-0.29,44.23,0.72,125.00,-3.85
Libord Finance,20.68,17.09,32.47,0.00,0.14,-33.33,0.08,-27.27,1.70
Abirami Fin.,59.85,21.26,32.32,4.18,0.14,16.67,0.00,,5.12
JMJ Fintech,27.43,7.05,35.11,0.00,1.67,263.04,3.75,153.38,22.66
Sahara Housing,44.91,31.44,31.44,0.00,0.10,-72.22,2.11,-22.71,5.62
Margo Finance,68.25,53.78,31.19,0.00,0.44,131.58,0.75,70.45,0.39
Inditrade Cap.,13.32,11.23,31.11,0.00,0.21,-55.32,29.17,-34.45,8.87
BAMPSL Sec.,9.13,55.48,31.07,0.00,0.06,400.00,5.00,85.87,1.29
BFL Asset Finves,25.74,2.86,26.26,0.00,3.15,86.39,7.60,-39.20,20.80
SPA CAPT SER,85.07,59.43,26.15,0.00,0.14,40.00,8.82,92.58,1.65
Richfield Fin,68.60,37.84,25.73,1.17,-0.03,-115.79,0.79,97.50,9.69
Easun Capital Ma,48.85,,25.54,0.00,-0.49,-281.48,0.26,-18.75,3.24
Neil Industries,12.97,11.96,25.36,0.00,0.34,-39.29,0.76,-10.59,5.01
Mansi Fin.(Chen),71.69,11.15,25.31,0.00,0.83,31.75,1.91,5.52,8.89
Tradewell Hold,83.03,17.54,24.91,0.00,-0.12,-152.17,1.90,341.86,-12.48
Sita Enterprises,82.59,10.50,24.78,0.00,0.20,-83.33,0.31,-75.97,22.86
Nyssa Corp.,8.24,9.69,24.72,0.00,0.97,506.25,1.40,55.56,10.64
R R Fin. Cons.,22.20,,24.55,0.00,0.37,-26.00,5.80,5.65,2.57
Groarc Industrie,12.94,23.64,26.48,0.00,0.86,8500.00,31.55,536.09,0.77
Karnavati Financ,2.44,,24.52,0.00,-0.86,-245.76,0.28,-76.47,0.00
Paragon Finance,56.48,17.27,24.00,0.00,0.42,82.61,1.06,79.66,3.65
Onelife Capital,17.96,,23.99,0.00,-6.80,-10807.66,1.52,16.92,9.53
Anupam Finserv,2.03,25.51,23.47,0.00,0.13,-40.91,0.98,30.67,8.88
Rita Finance and,20.89,80.35,20.89,0.00,0.07,-69.57,0.23,-34.29,4.21
Sarvottam Finve.,27.55,147.57,20.66,0.00,-0.22,-320.00,0.70,75.00,1.94
Gowra Leasing,68.79,12.90,20.64,0.00,0.57,14.00,0.88,57.14,16.43
Sh. Ganesh Elas.,36.50,10.24,20.08,0.00,0.38,-43.28,7.77,15.62,38.58
Amforge Inds.,13.87,,19.96,0.00,0.12,300.00,0.00,,3.55
Harmony Capital,65.90,,19.77,0.00,-0.16,,0.00,,-6.55
TCI Finance,15.24,,19.61,0.00,-0.21,-2100.00,0.00,-100.00,
Prism Finance,30.04,2.64,19.53,0.00,4.54,99.12,7.56,206.07,35.96
Ramsons Projects,64.38,12.27,19.38,0.00,0.12,300.00,0.23,76.92,14.89
First Custodian,128.00,7.77,19.20,0.78,0.49,53.12,0.79,12.86,15.72
Kartik Invest.,857.85,,20.93,0.00,0.01,0.00,0.02,0.00,-0.24
Sharp Investment,0.79,,19.13,0.00,-0.13,-44.44,0.00,-100.00,0.04
Sujala Trading &,33.19,15.31,18.99,0.00,0.29,136.25,0.38,-7.32,-0.78
Octal Credit Cap,37.63,5.09,18.82,0.00,0.74,17.46,0.09,28.57,25.30
Guj. Lease Fin.,6.90,156.00,18.72,0.00,0.02,300.00,0.00,,1.55
Econo Trade Indi,9.39,6.72,17.53,0.00,0.64,52.38,1.44,-8.86,9.67
Adinath Exim Res,39.91,29.22,17.24,0.00,0.15,0.00,0.28,7.69,4.04
Navigant Corp.,54.69,12.23,17.24,0.00,0.84,,4.10,18.16,17.64
Libord Securitie,34.45,30.77,17.23,0.00,0.10,-28.57,0.00,,11.82
Goenka Business,13.21,7.40,17.17,0.00,0.66,164.00,38.73,32.64,48.09
Avasara Finance,34.32,,17.16,0.00,-0.10,-900.00,0.00,-100.00,9.38
Enbee Trade,11.94,7.47,17.10,0.00,1.54,120.00,4.59,101.32,7.96
Arihant's Secur.,33.16,20.47,16.58,0.00,0.86,-18.87,0.98,-16.95,4.82
ISF,1.71,,16.25,0.00,0.02,0.00,0.45,-22.41,-3.78
Vani Commercials,13.82,67.62,16.23,0.00,-0.20,-600.00,1.39,73.75,4.60
Moongipa Capital,57.46,8.04,17.53,0.00,0.56,-13.85,2.32,-11.45,34.88
Bazel Internatio,83.11,4.01,16.21,0.00,0.65,118.21,0.83,-27.83,1.50
DCM Financial,7.30,,16.15,0.00,-0.07,80.00,0.00,,-4.10
Beryl Securities,33.00,42.11,16.00,0.00,0.13,333.33,0.39,95.00,4.47
Northlink Fiscal,29.58,,15.53,0.00,-0.28,-2900.00,0.07,-22.22,-0.46
Shyamkamal Inv,10.57,,14.27,0.00,-0.19,-290.00,0.27,,-7.05
Jindal Leasefin,45.49,,13.69,0.00,-0.03,57.14,0.02,,-2.25
Mehta Securities,43.83,,13.54,0.00,0.08,-11.11,0.00,,-2.87
J J Finance Corp,48.00,18.55,13.54,0.00,0.35,1650.00,0.58,346.15,5.19
Step Two Corp.,31.65,,13.44,0.00,-2.41,-546.30,0.00,-100.00,-7.93
Vikalp Securitie,44.00,,13.42,0.00,-0.07,,0.00,,0.46
Anjani Finance,13.13,45.93,13.32,0.00,0.12,-60.00,0.09,-64.00,5.09
Svam Software,7.60,321.00,12.84,0.00,0.08,-57.89,0.08,60.00,0.52
Trinity League,16.04,,12.70,0.00,-0.05,93.24,0.01,,-60.09
Seven Hill Inds.,0.97,4.15,12.61,0.00,-0.07,-177.78,0.00,,23.74
Interactive Fin,48.40,5.36,14.58,0.00,0.87,97.73,1.79,72.12,14.98
Siddha Ventures,12.00,3.26,12.00,0.00,2.85,7225.00,3.09,,2.03
Esaar (India),5.71,53.05,11.67,0.00,-0.87,-165.91,4.74,11.27,7.02
V B Industries,8.59,41.70,11.26,0.00,0.44,46.67,0.00,,0.12
Rajath Finance,27.79,,11.12,0.00,-0.43,-2.38,0.08,300.00,-22.66
Decillion Financ,29.31,,10.26,0.00,0.06,-45.45,0.27,17.39,0.15
Classic Leasing,33.99,42.50,10.20,0.00,0.06,500.00,0.09,125.00,12.98
Abhinav Leasing,2.00,,10.00,0.00,0.06,100.00,8.78,25.61,35.57
Ushakiran Fin.,39.06,24.80,9.92,0.00,0.27,285.71,0.25,92.31,1.25
GACM Tech-DVR,0.83,8.68,9.81,0.00,,,,,13.32
Hasti Finance,8.76,,9.50,0.00,0.00,-100.00,0.11,0.00,-2.62
Minolta Finance,9.45,135.00,9.45,0.00,0.01,0.00,0.23,35.29,0.59
Kumbhat Fin.,19.60,,9.31,0.00,0.08,-20.00,0.15,66.67,-48.73
R R Securities,30.85,62.07,9.31,0.00,0.05,400.00,0.00,,2.13
Krishna Capital,29.15,102.33,9.21,0.00,-0.05,-600.00,0.09,0.00,2.89
Panafic Industri,1.26,49.29,10.35,0.00,0.01,-93.33,0.15,-34.78,0.30
Amarnath Sec.,29.94,40.82,8.98,0.00,0.05,0.00,0.10,0.00,5.87
SHRI NIWAS L& F.,22.26,46.84,8.90,0.00,0.10,600.00,0.16,,-9.26
Kuber Udyog,25.74,80.36,8.84,0.00,0.00,-100.00,0.11,-15.38,4.87
Polytex India,6.47,,8.73,0.00,-0.03,0.00,0.00,,-5.73
Goyal Associates,1.62,11.18,7.60,0.00,0.11,-45.00,0.44,-52.69,22.57
Mahan Industries,2.10,108.00,7.56,0.00,0.01,-50.00,0.38,46.15,-0.31
Savani Financial,18.62,,7.45,0.00,-1.26,-260.00,0.73,2333.33,-87.53
Brijlaxmi Leas.,11.46,,7.41,0.00,-0.63,-550.00,0.50,-23.08,10.88
Thirani Projects,3.64,,7.36,0.00,0.06,-50.00,0.20,-4.76,-41.16
Aravali Sec,4.72,,7.15,0.00,-0.02,77.78,0.00,,-3.53
Amerise BioScie,1.03,,6.81,0.00,-0.03,25.00,0.00,,-2.73
Ontic Finserve,0.74,,6.66,0.00,1.04,,1.40,,-86.61
Voltaire Leasing,16.01,14.67,6.60,0.00,0.22,150.00,0.37,85.00,-0.97
CitiPort Fin.,21.13,163.75,6.55,0.00,0.01,0.00,0.09,28.57,3.55
Integra Capital,16.31,7.30,7.67,0.00,0.23,27.78,0.35,59.09,22.51
Sungold Capital,3.49,160.50,6.42,0.00,0.03,50.00,0.56,-9.68,2.66
Kinetic Trust,19.03,71.00,6.39,0.00,-0.04,-33.33,0.00,,2.58
Futuristic Sec.,31.21,121.80,6.09,0.00,0.02,300.00,0.02,0.00,-6.36
Cindrella Fin.,14.30,24.79,5.95,0.00,0.08,-61.90,0.05,150.00,3.83
Manipal Fin. Cor,6.19,,5.19,0.00,-0.02,80.00,0.08,100.00,
Dharani Finance,10.32,16.61,5.15,0.00,0.11,257.14,0.23,-11.54,-3.28
Multipurpose Trd,10.30,28.33,5.10,0.00,0.04,-20.00,0.09,0.00,4.44
Peoples Invest,251.25,,5.03,0.00,-0.01,0.00,0.00,,0.00
Galada Finance,16.50,15.97,4.95,0.00,0.04,-55.56,0.37,32.14,8.76
Ganesh Holdings,122.00,,4.94,0.00,-0.02,0.00,0.02,-33.33,-2.48
Mid East Port.,9.50,95.60,4.78,0.00,0.02,0.00,0.00,,1.88
GCM Commodity,6.18,12.75,4.59,0.00,0.31,,0.00,-100.00,-4.64
KEN Fin.Serv.,15.20,41.45,4.56,0.00,0.04,33.33,0.14,-6.67,3.33
Stellant Secu.,60.00,3.39,4.44,0.00,1.07,2040.00,1.34,1388.89,25.17
Systematix Sec.,10.50,,5.25,0.00,0.00,,0.08,0.00,-0.45
Nikki Glob.Fin.,12.65,,4.33,0.00,-0.02,0.00,0.02,,-7.83
JPT Securities,12.45,,3.75,0.00,0.02,,0.11,0.00,-17.34
Kanungo Financi.,7.81,12.93,3.62,0.00,0.07,16.67,0.00,,6.24
Shivansh Finserv,5.40,25.92,3.37,0.00,0.00,100.00,0.10,,2.30
Hind. Unilever,2389.20,54.62,561364.34,1.76,2595.00,-2.14,15926.00,1.94,27.24
Nestle India,2182.80,66.27,210456.22,0.71,986.36,-7.40,5104.00,1.33,169.08
Varun Beverages,575.65,73.59,187012.88,0.17,628.82,23.66,4804.68,24.14,28.82
Godrej Consumer,1175.10,66.48,120213.65,1.28,491.31,12.18,3666.33,1.79,19.02
Britannia Inds.,4915.60,55.10,118401.22,1.50,531.55,-9.37,4667.57,5.29,48.92
Dabur India,508.10,51.18,90051.14,1.08,417.52,-17.66,3028.59,-5.47,22.28
Colgate-Palmoliv,2708.95,50.16,73679.55,1.77,395.05,16.17,1619.11,10.06,96.80
P & G Hygiene,15704.00,75.38,50976.34,1.24,211.90,0.57,1135.16,-0.28,112.44
Gillette India,9427.15,67.97,30723.08,0.48,133.01,43.50,781.82,17.12,58.91
Emami,642.85,36.34,28060.40,1.24,210.99,18.20,890.59,2.97,31.72
Wardwizard Healt,18.90,,0.46,0.00,-0.69,-885.71,0.22,450.00,-169.57
Hatsun Agro,1085.60,79.44,24181.55,0.55,64.32,-17.08,2072.10,8.75,13.19
Bikaji Foods,786.60,66.13,19695.06,0.13,72.08,17.57,713.25,19.31,29.65
Jyothy Labs,427.00,41.73,15679.81,0.82,105.02,0.97,733.76,0.19,26.99
Zydus Wellness,1960.60,39.73,12475.72,0.26,20.90,166.10,492.90,12.05,5.33
L T Foods,355.20,20.51,12334.42,0.42,150.61,-4.86,2107.79,6.57,21.09
Asahi India Glas,665.65,52.69,16181.95,0.30,94.54,9.46,1157.68,3.41,14.97
Apollo Hospitals,6860.65,83.38,98645.62,0.23,395.70,63.46,5589.30,15.32,15.11
Max Healthcare,1006.25,92.37,97820.79,0.15,281.81,1.85,1707.46,25.26,16.00
Fortis Health.,639.10,70.14,48249.38,0.16,193.08,26.85,1988.39,12.34,10.34
Syngene Intl.,861.60,75.24,34682.59,0.15,106.10,-13.19,891.00,-2.10,14.74
Global Health,1071.95,58.99,28786.94,0.00,130.81,4.51,956.56,13.34,19.32
Poly Medicure,2701.10,92.79,27359.59,0.11,87.45,40.62,420.02,24.53,23.62
Narayana Hrudaya,1276.45,33.50,26085.63,0.31,198.80,-12.34,1400.01,7.26,26.54
Dr Lal Pathlabs,2956.40,61.56,24709.37,0.81,130.80,18.21,660.20,9.80,25.17
Krishna Institu.,560.10,67.64,22411.78,0.00,120.70,16.71,777.30,19.13,16.87
GAIL (India),188.89,10.77,124197.06,2.91,2689.67,10.13,33888.90,2.74,14.66
Aster DM Health.,430.40,78.04,21499.04,0.46,105.76,83.10,1086.44,16.89,4.48
Rainbow Child.,1649.75,72.37,16753.49,0.18,79.01,25.37,417.46,25.48,19.08
Indegene,660.95,42.59,15814.48,0.00,91.70,22.27,686.80,8.04,29.02
Vijaya Diagnost.,1038.20,79.46,10654.99,0.10,42.13,25.87,182.95,31.75,19.51
Metropolis Healt,2032.20,70.38,10418.55,0.20,46.70,31.23,349.79,13.38,15.79
Jupiter Life Lin,1480.40,55.53,9706.39,0.07,50.30,37.02,273.10,20.27,22.16
EIH,357.65,33.18,22366.15,0.34,132.70,41.08,588.99,11.01,23.62
Chalet Hotels,844.15,244.92,18423.23,0.00,-138.51,-480.15,377.05,19.87,10.06
Lemon Tree Hotel,121.76,63.53,9646.39,0.00,35.04,30.86,284.37,25.16,11.36
Juniper Hotels,327.20,213.25,7280.28,0.00,-27.82,-77.76,214.52,27.34,6.80
Mahindra Holiday,355.60,65.14,7182.21,0.00,11.48,-46.20,670.75,2.36,9.24
I T D C,591.55,72.11,5073.69,0.43,23.81,24.22,153.66,17.27,31.40
Samhi Hotels,180.37,147.11,3969.09,0.00,12.62,114.34,265.54,20.72,6.83
Apeejay Surrend.,145.99,44.07,3115.05,0.00,26.76,80.50,141.57,4.93,12.55
Oriental Hotels,172.53,72.93,3081.37,0.29,5.71,30.66,103.30,13.48,10.69
EIH Assoc.Hotels,376.10,27.34,2291.81,1.60,2.08,705.43,70.84,20.52,25.10
Indian Hotels Co,741.35,73.71,105526.15,0.24,582.71,87.82,1826.12,27.42,15.11
TajGVK Hotels,310.90,23.65,1949.39,0.48,19.65,76.55,105.17,17.61,18.81
Praveg,694.00,150.61,1792.30,0.14,1.40,-33.33,31.44,124.09,9.37
HLV,17.00,49.42,1120.74,0.00,3.49,-41.58,43.37,4.83,5.66
Benares Hotels,8017.65,28.54,1042.29,0.31,7.20,5.26,24.47,-5.52,40.56
Rail Vikas,419.50,68.35,87466.59,0.50,302.51,-18.26,4869.22,-0.83,18.70
IRB Infra.Devl.,47.76,46.81,28842.26,0.63,99.87,4.30,1585.84,-9.12,8.96
K E C Intl.,1005.85,63.51,26775.73,0.40,85.41,52.98,5113.31,13.65,16.05
NBCC,90.00,43.81,24300.00,0.47,125.14,-0.35,2458.73,19.44,31.99
Kalpataru Proj.,1199.00,37.79,19477.29,0.67,125.56,41.25,4929.93,9.11,15.99
Ircon Intl.,191.78,19.58,18037.21,1.62,205.92,-17.87,2447.52,-18.06,18.15
Afcons Infrastr.,474.75,38.12,17460.58,0.00,91.59,0.69,3154.36,-0.54,23.13
Techno Elec.Engg,1444.90,53.03,16804.13,0.48,94.21,27.69,441.42,-4.51,16.53
G R Infraproject,1569.90,16.50,15184.30,0.00,193.57,-16.22,1394.33,-25.94,16.89
ACME Solar Hold.,228.85,112.61,13847.43,0.00,1.39,-98.20,309.64,-16.12,8.41
Larsen & Toubro,3526.25,36.01,484857.58,0.79,4098.84,5.36,61554.58,20.64,13.44
Sterling & Wils.,490.65,,11456.06,0.00,8.57,113.00,1030.49,35.68,3.77
Va Tech Wabag,1673.60,40.02,10408.19,0.00,70.30,16.97,700.30,5.31,19.75
Reliance Infra.,258.80,,10251.88,0.00,4194.63,389.06,7258.49,1.48,7.38
Engineers India,180.36,27.39,10137.00,1.66,99.63,-21.83,688.94,-12.77,22.21
Bharat Global,1152.80,737.88,11673.21,0.00,10.11,,216.35,,8.55
Control Print,681.45,21.46,1089.93,1.32,13.48,-4.53,101.79,17.77,23.60
AGS Transact,82.37,110.37,1014.30,0.00,15.17,124.91,351.69,-6.60,1.26
TVS Elec.,353.75,,659.76,0.28,-1.32,-217.86,104.61,13.47,0.73
Esconet,454.70,126.29,562.01,0.00,2.20,,104.60,46.75,32.36
HCL Infosystems,16.47,,542.21,0.00,-7.84,-10.11,6.79,13.36,-28.03
TCS,4145.90,31.15,1500022.90,1.33,11955.00,5.00,64259.00,7.65,64.28
Infosys,1864.55,28.73,774190.86,2.04,6516.00,4.73,40986.00,5.11,39.99
HCL Technologies,1858.95,29.98,504456.77,2.80,4237.00,10.52,28862.00,8.21,29.60
Wipro,566.70,25.25,296475.98,0.18,3226.60,21.26,22301.60,-0.95,16.93
Netweb Technol.,2670.85,155.48,15054.73,0.07,25.72,69.88,251.06,73.17,38.43
LTIMindtree,5994.65,38.15,177551.89,1.08,1251.60,7.68,9432.90,5.92,31.17
Tech Mahindra,1687.50,50.45,165111.40,2.37,1257.50,153.11,13313.20,3.49,11.88
Oracle Fin.Serv.,11768.55,40.94,102146.70,2.04,577.70,38.39,1673.90,15.88,39.54
Persistent Sys,5713.80,72.23,89049.57,0.46,325.00,23.45,2897.15,20.13,29.17
L&T Technology,5170.00,43.57,54720.03,0.97,293.00,-4.99,2324.80,8.83,33.40
Coforge,8074.00,68.34,53872.61,0.94,233.60,11.71,3062.30,34.54,28.60
PB Fintech.,1724.50,453.90,78656.16,0.00,50.98,350.35,1167.23,43.81,1.75
Mphasis,2839.30,33.69,53726.54,1.94,423.33,8.01,3536.15,7.92,23.95
Tata Elxsi,6374.55,48.60,39701.96,1.10,229.43,14.70,955.09,8.32,42.74
Tata Technolog.,962.30,60.35,39037.48,0.87,157.41,-1.85,1296.45,2.15,28.29
